UnitId,CallType,CallFinalDisposition,Address,City,StationArea,Priority,ALSUnit,CallTypeGroup,SupervisorDistrict,NeighborhoodName,RowID,ReactionCategory,Year,Month,Time
E36,Outside Fire,Fire,GOUGH ST/GROVE ST,San Francisco,San Francisco,3,True,Fire,5,Hayes Valley,221210313-E36,Prompt,2022,5,AM
E29,Alarms,Fire,100 Block of MISSISSIPPI ST,San Francisco,San Francisco,3,True,Alarm,10,Potrero Hill,220190150-E29,Prompt,2022,1,AM
T07,Alarms,Fire,0 Block of HOFF ST,San Francisco,San Francisco,3,False,Alarm,9,Mission,211233271-T07,Prompt,2021,5,PM
B02,Alarms,Fire,200 Block of JONES ST,San Francisco,San Francisco,3,False,Alarm,6,Tenderloin,212933533-B02,Delay,2021,10,PM
E41,Alarms,Fire,1400 Block of FILBERT ST,San Francisco,San Francisco,3,False,Alarm,2,Russian Hill,221202543-E41,Delay,2022,4,PM
B01,Alarms,Fire,500 Block of JONES ST,San Francisco,San Francisco,3,False,Alarm,6,Tenderloin,211232439-B01,Delay,2021,5,PM
T03,Alarms,Fire,900 Block of VAN NESS AVE,San Francisco,San Francisco,3,False,Alarm,6,Tenderloin,211942517-T03,Delay,2021,7,PM
B01,Alarms,Fire,0 Block of BEACH ST,San Francisco,San Francisco,3,False,Alarm,3,North Beach,212932758-B01,Prompt,2021,10,PM
T03,Structure Fire,Fire,MISSION ST/9TH ST,San Francisco,San Francisco,3,False,Fire,6,South of Market,221201816-T03,Prompt,2022,4,PM
SCRT4,Medical Incident,SFPD,100 Block of VICENTE ST,San Francisco,San Francisco,1,False,Non Life-threatening,7,West of Twin Peaks,211941580-SCRT4,Delay,2021,7,PM
50,Other,Fire,17-TH DE HARO ST,San Francisco,San Francisco,2,True,Non Life-threatening,10,Mission Bay,220181779-50,Prompt,2022,1,PM
E06,Alarms,Fire,0 Block of SANCHEZ ST,San Francisco,San Francisco,3,True,Alarm,8,Castro/Upper Market,220111608-E06,Prompt,2022,1,PM
AM110,Medical Incident,Code 2 Transport,100 Block of ADDISON ST,San Francisco,San Francisco,2,False,Non Life-threatening,8,Glen Park,220111597-AM110,Prompt,2022,1,PM
E07,Outside Fire,Fire,FLORIDA ST/15TH ST,San Francisco,San Francisco,3,True,Fire,9,Mission,220111595-E07,Prompt,2022,1,PM
E08,Alarms,Fire,600 Block of BRYANT ST,San Francisco,San Francisco,3,True,Alarm,6,South of Market,220181524-E08,Prompt,2022,1,PM
E41,Outside Fire,Fire,LARKIN ST/GREEN ST,San Francisco,San Francisco,3,False,Fire,3,Russian Hill,221201435-E41,Prompt,2022,4,PM
T05,Citizen Assist / Service Call,Fire,0 Block of FRANKLIN ST,San Francisco,San Francisco,3,False,Non Life-threatening,5,Hayes Valley,211941035-T05,Delay,2021,7,AM
B10,Alarms,Fire,700 Block of FLORIDA ST,San Francisco,San Francisco,3,False,Alarm,9,Mission,220181030-B10,Delay,2022,1,AM
T10,Alarms,Fire,300 Block of MASONIC AVE,San Francisco,San Francisco,3,False,Alarm,5,Lone Mountain/USF,222091290-T10,Delay,2022,7,AM
SCRT3,Other,Cancelled,900 Block of MARKET ST,San Francisco,San Francisco,1,False,Non Life-threatening,6,South of Market,222091252-SCRT3,Delay,2022,7,AM
E03,Alarms,Fire,200 Block of GOLDEN GATE AVE,San Francisco,San Francisco,3,True,Alarm,6,Tenderloin,221200830-E03,Prompt,2022,4,AM
76,Medical Incident,Code 2 Transport,0 Block of CARL ST,San Francisco,San Francisco,2,True,Non Life-threatening,5,Haight Ashbury,220180731-76,Delay,2022,1,AM
